run_basic.py

--------SENATORS DATA--------
   first_name   last_name  ...  dw_nominate  bipartisan_index
0       Tammy     Baldwin  ...       -0.490           0.28627
1        John    Barrasso  ...        0.539          -0.52828
2  Michael F.      Bennet  ...       -0.232           0.24740
3      Marsha   Blackburn  ...        0.632          -0.07916
4     Richard  Blumenthal  ...       -0.434          -0.50813

[5 rows x 34 columns]
--------VOTES DATA--------
   vote_date  ...                               topic
0 2023-03-01  ...               Labour and Employment
1 2023-03-08  ...  Government Operations and Politics
2 2023-03-08  ...  Government Operations and Politics
3 2023-03-29  ...               International Affairs
4 2023-03-29  ...               International Affairs

[5 rows x 16 columns]

Processing bill H.J.Res.30...
Tammy Baldwin | Predicted: nay | Actual: Nay
John Barrasso | Predicted: yea | Actual: Yea
Michael F. Bennet | Predicted: nay | Actual: Nay
Marsha Blackburn | Predicted: yea | Actual: Yea
Richard Blumenthal | Predicted: nay | Actual: Nay
Cory A. Booker | Predicted: nay | Actual: Nay
John Boozman | Predicted: yea | Actual: Yea
Mike Braun | Predicted: nay | Actual: Yea
Katie Boyd Britt | Predicted: nay | Actual: Yea
Sherrod Brown | Predicted: nay | Actual: Nay
Ted Budd | Predicted: yea | Actual: Yea
Maria Cantwell | Predicted: nay | Actual: Nay
Shelley Moore Capito | Predicted: nay | Actual: Yea
Benjamin L. Cardin | Predicted: nay | Actual: Nay
Thomas R. Carper | Predicted: nay | Actual: Nay
Robert P. Casey Jr. | Predicted: nay | Actual: Nay
Bill Cassidy | Predicted: nay | Actual: Yea
Susan M. Collins | Predicted: nay | Actual: Yea
Christopher A. Coons | Predicted: nay | Actual: Nay
John Cornyn | Predicted: yea | Actual: Yea
Catherine Cortez Masto | Predicted: nay | Actual: Nay
Tom Cotton | Predicted: nay | Actual: Yea
Kevin Cramer | Predicted: nay | Actual: Yea
Ted Cruz | Predicted: yea | Actual: Yea
Steve Daines | Predicted: nay | Actual: Yea
Tammy Duckworth | Predicted: nay | Actual: Nay
Richard J. Durbin | Predicted: nay | Actual: Nay
Joni Ernst | Predicted: nay | Actual: Yea
Deb Fischer | Predicted: nay | Actual: Yea
Kirsten E. Gillibrand | Predicted: nay | Actual: Nay
Lindsey Graham | Predicted: nay | Actual: Yea
Chuck Grassley | Predicted: nay | Actual: Yea
Bill Hagerty | Predicted: yea | Actual: Yea
Margaret Wood Hassan | Predicted: nay | Actual: Nay
